service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
CALEND-748-Καθημερινή-07,1,1,1,1,1,0,0,20161201,20170630
CALEND-748-Κυριακή-09,0,0,0,0,0,0,1,20161204,20170625
CALEND-748-Σάββατο-08,0,0,0,0,0,1,0,20161203,20170701
CALEND-750-Καθημερινή-15,1,1,1,1,1,0,0,20161201,20170630
CALEND-750-Κυριακή-07,0,0,0,0,0,0,1,20161204,20170625
CALEND-750-Σάββατο-11,0,0,0,0,0,1,0,20161203,20170701
CALEND-790-Καθημερινή-13,1,1,1,1,1,0,0,20161201,20170630
CALEND-790-Κυριακή-12,0,0,0,0,0,0,1,20161204,20170625
CALEND-790-Σάββατο-11,0,0,0,0,0,1,0,20161203,20170701
CALEND-800-Καθημερινή-07,1,1,1,1,1,0,0,20161201,20170630
CALEND-800-Κυριακή-07,0,0,0,0,0,0,1,20161204,20170625
CALEND-800-Σάββατο-06,0,0,0,0,0,1,0,20161203,20170701
CALEND-803-Καθημερινή-02,1,1,1,1,1,0,0,20161201,20170630
CALEND-803-Κυριακή-02,0,0,0,0,0,0,1,20161204,20170625
CALEND-803-Σάββατο-01,0,0,0,0,0,1,0,20161203,20170701
CALEND-806-807-Καθημερινή-03,1,1,1,1,1,0,0,20161201,20170630
CALEND-806-807-Κυριακή-01,0,0,0,0,0,0,1,20161204,20170625
CALEND-806-807-Σάββατο-03,0,0,0,0,0,1,0,20161203,20170701
CALEND-809-810-Καθημερινή-09,1,1,1,1,1,0,0,20161201,20170630
CALEND-809-810-Κυριακή-05,0,0,0,0,0,0,1,20161204,20170625
CALEND-809-810-Σάββατο-05,0,0,0,0,0,1,0,20161203,20170701
CALEND-811-Καθημερινή-12,1,1,1,1,1,0,0,20161201,20170630
CALEND-811-Κυριακή-06,0,0,0,0,0,0,1,20161204,20170625
CALEND-811-Σάββατο-08,0,0,0,0,0,1,0,20161203,20170701
CALEND-813-Καθημερινή-08,1,1,1,1,1,0,0,20161201,20170630
CALEND-813-Κυριακή-06,0,0,0,0,0,0,1,20161204,20170625
CALEND-813-Σάββατο-07,0,0,0,0,0,1,0,20161203,20170701
CALEND-818-Καθημερινή-08,1,1,1,1,1,0,0,20161201,20170630
CALEND-818-Κυριακή-04,0,0,0,0,0,0,1,20161204,20170625
CALEND-818-Σάββατο-05,0,0,0,0,0,1,0,20161203,20170701
CALEND-819-Καθημερινή-06,1,1,1,1,1,0,0,20161201,20170630
CALEND-819-Σαβ/Κυρ-02,0,0,0,0,0,1,1,20161203,20170701
CALEND-820-Καθημερινή-06,1,1,1,1,1,0,0,20161201,20170630
CALEND-820-Κυριακή-06,0,0,0,0,0,0,1,20161204,20170625
CALEND-820-Σάββατο-06,0,0,0,0,0,1,0,20161203,20170701
CALEND-821-Καθημερινή-05,1,1,1,1,1,0,0,20161201,20170630
CALEND-821-Κυριακή-06,0,0,0,0,0,0,1,20161204,20170625
CALEND-821-Σάββατο-04,0,0,0,0,0,1,0,20161203,20170701
CALEND-822-Καθημερινή-10,1,1,1,1,1,0,0,20161201,20170630
CALEND-822-Κυριακή-07,0,0,0,0,0,0,1,20161204,20170625
CALEND-822-Σάββατο-09,0,0,0,0,0,1,0,20161203,20170701
CALEND-823-Καθημερινή-08,1,1,1,1,1,0,0,20161201,20170630
CALEND-823-Κυριακή-05,0,0,0,0,0,0,1,20161204,20170625
CALEND-823-Σάββατο-07,0,0,0,0,0,1,0,20161203,20170701
CALEND-824-825-Καθημερινή-12,1,1,1,1,1,0,0,20161201,20170630
CALEND-824-825-Κυριακή-07,0,0,0,0,0,0,1,20161204,20170625
CALEND-824-825-Σάββατο-07,0,0,0,0,0,1,0,20161203,20170701
CALEND-826-Καθημερινή-11,1,1,1,1,1,0,0,20161201,20170630
