shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
ΑΘΗΝΧΑΛΚ,38.2716318,23.6751837,1158
ΑΘΗΝΧΑΛΚ,38.2711601,23.6753726,1161
ΑΘΗΝΧΑΛΚ,38.2707153,23.6754927,1164
ΑΘΗΝΧΑΛΚ,38.2702302,23.6755442,1167
ΑΘΗΝΧΑΛΚ,38.2696978,23.6755356,1170
ΑΘΗΝΧΑΛΚ,38.2688824,23.6753811,1173
ΑΘΗΝΧΑΛΚ,38.2683972,23.6752953,1176
ΑΘΗΝΧΑΛΚ,38.2679457,23.6752524,1179
ΑΘΗΝΧΑΛΚ,38.2675414,23.6752438,1182
ΑΘΗΝΧΑΛΚ,38.2670562,23.6752781,1185
ΑΘΗΝΧΑΛΚ,38.2665643,23.6753811,1188
ΑΘΗΝΧΑΛΚ,38.2655737,23.6755871,1191
ΑΘΗΝΧΑΛΚ,38.2631745,23.6761536,1194
ΑΘΗΝΧΑΛΚ,38.2580121,23.6773209,1197
ΑΘΗΝΧΑΛΚ,38.2576145,23.6774411,1200
ΑΘΗΝΧΑΛΚ,38.2572505,23.677587,1203
ΑΘΗΝΧΑΛΚ,38.2568664,23.677793,1206
ΑΘΗΝΧΑΛΚ,38.2565092,23.6780505,1209
ΑΘΗΝΧΑΛΚ,38.2562194,23.6782822,1212
ΑΘΗΝΧΑΛΚ,38.2559093,23.678574,1215
ΑΘΗΝΧΑΛΚ,38.2556734,23.6788401,1218
ΑΘΗΝΧΑΛΚ,38.2554712,23.6791319,1221
ΑΘΗΝΧΑΛΚ,38.2552286,23.6795096,1224
ΑΘΗΝΧΑΛΚ,38.254959,23.6800246,1227
ΑΘΗΝΧΑΛΚ,38.2547163,23.6806426,1230
ΑΘΗΝΧΑΛΚ,38.2545276,23.6812777,1233
ΑΘΗΝΧΑΛΚ,38.2544265,23.6818099,1236
ΑΘΗΝΧΑΛΚ,38.2543119,23.6827025,1239
ΑΘΗΝΧΑΛΚ,38.2541771,23.6838355,1242
ΑΘΗΝΧΑΛΚ,38.2540086,23.6852517,1245
ΑΘΗΝΧΑΛΚ,38.2539345,23.68611,1248
ΑΘΗΝΧΑΛΚ,38.2538941,23.686831,1251
ΑΘΗΝΧΑΛΚ,38.2539008,23.6875433,1254
